,What operating system(s) do you use?,,,,,,,Which interface(s) do you use to access Cantera? ,,,,,Do you use the following sources to install and/or upgrade Cantera?,,,,,,,,,,,,,,,,,,,,,,,,,,,Please select the statement(s) that best describes your Cantera use:,,,,,Which of the following thermodynamic models in Cantera do you use?,,,,,,,,,,,,,,,,,,Which of the following features of Cantera’s reactor network model do you use?,,,,,,,,,,,,,Which of the following features of Cantera’s 1D reacting flow module do you use?,,,,,,,Please choose your top 3 desired development priorities.,,,,,,,,Are you aware of the following roles of the Steering Committee?,,,,,,,,How frequently do you use the following support features?,,,,,,,,,,,,,,,
pn2ptkfldn2skyd4pn2p6q5bz2kica0o,macOS,,,,"Debian or its derivatives (Ubuntu, Mint, etc.)","Red Hat or its derivatives (Fedora, CentOS, etc.)",,Python,,C++,,,,,Anaconda,Build from source (via GitHub),,,,,2.4 (released Aug. 2018),Often,3.7,,,Sometimes,C++11/C++0x,none... I only use c++ interface to integrate w/ other c++ applications,,,,,Intel C/C++,Gnu Fortran (gfortran),,Clang / Clang++,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",Yes,,,,,,,,,,,,Redlich-Kwong,,,,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,Valves,Pressure controllers,Wall heat transfer,,,Networks with multiple reactors,,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,Burner-stabilized flame,Counterflow diffusion flame,Counterflow premixed flame,,,,"New thermodynamics, kinetics, or transport models",,1D solver - robustness,,"New reactor or flow types (for example, transient 1-D or plug flow)",,TRUE,analytic jacobian (for production rates),I’m not aware of the Steering Committee,,,,,,"No, but I am aware of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,I use this sometimes,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this often,North America,english,Full-time/Part-time employed by a company,,Cascade Technologies,reactive flow modeling,,,3/19/20 13:37,fQcDCa
d242ln4b6iil3gvaqd0d242g3tkefr9o,,,,Windows 10,,,,Python,,,,,,,,,,,,pip,2.4 (released Aug. 2018),Often,3.5,,,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)",,,,Yes,,,,,,,,,,,,Redlich-Kwong,,,,,,,,,,,,,,,,,,,None of the above,,,,,,,None of the above,"New thermodynamics, kinetics, or transport models",,Equilibrium solvers - robustness,,"New language interfaces (for example, Julia)",,TRUE,Peng-Robinson Implimentation,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice","I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,Oceania or Non-continental Asia,English,Student,,University of Canterbury,I need an open source physical property estimation tool within python.,What overall could we improve about the experience of using Cantera.,,3/19/20 21:47,fQcDCa
w37dm0c92wshl9w36ojb2yq4geczzf3v,,,,Windows 10,,,,Python,,,,,,,Anaconda,,,,,,2.4 (released Aug. 2018),Often,3.5,,,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)",,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None of the above,,,,,,,None of the above,"New thermodynamics, kinetics, or transport models",,Feature and model documentation,,Examples and tutorials,,TRUE,"modeling liquid fuel vaporization, liquid kerosene combustion, more complex flow control (i.e. mass balances for systems like rocket engines)",I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Website examples (https://cantera.org/examples/index.html),I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice","I have heard of this, but I don't really use it or have only used it once or twice","I have heard of this, but I don't really use it or have only used it once or twice",I have not heard of this,"I have heard of this, but I don't really use it or have only used it once or twice",North America,english,Full-time/Part-time employed by a company,,,attempting to use it in the context of rocket engine combustion,,,3/19/20 22:40,fQcDCa
gtcmqbtna5vj5js6nc60w2gtcmqbh69k,,,,Windows 10,,,,Python,,,,,,,Anaconda,,,,,,Development version / master branch,Often,3.8,,,,,,,,,,,,,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,,,,,Solve time-dependent problems,,,Premixed free flame,,,,,,,1D solver - performance,,1D solver - robustness,,,Adjoint Sensitivity Analysis,TRUE,The ability to specify output units,"Modifications of the governance procedures, 
Spending project funds, 
Delegating / managing project administrative responsibilities and communication",Modifications of the governance procedures,,Spending project funds,Delegating / managing project administrative responsibilities and communication,,"No, but I am aware of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this sometimes,I use this sometimes,I use this often,North America,English,Full-time/Part-time employed by a university or lab,,Argonne National Laboratory,It is a great backend chemical kinetics library,,,3/20/20 0:30,fQcDCa
uywbe2us6irai7dazgxuywbehtoabgna,,,,Windows 10,,,,Python,,,,,,,,,"Windows binaries (.msi file), downloaded from GitHub",,,,2.4 (released Aug. 2018),Often,3.7,,,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,Valves,Pressure controllers,Wall heat transfer,,,Networks with multiple reactors,Sensitivity Analysis,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,Burner-stabilized flame,Counterflow diffusion flame,Counterflow premixed flame,,,,"New reactor or flow types (for example, transient 1-D or plug flow)",,"New thermodynamics, kinetics, or transport models",,Examples and tutorials,,TRUE,I cannot think of any faeture at this moment - I use Cantera in connection with teaching (unergraduates and graduates),"Modifications of the governance procedures, 
Spending project funds",Modifications of the governance procedures,,Spending project funds,,,"No, but I am aware of NumFOCUS",Examples installed with Cantera,I use this often,I use this often,I use this sometimes,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,Europe,English,Full-time/Part-time employed by a university or lab,,Aalborg University,I use Cantera as part of teaching (unergraduate and graduate) and in connection with PhD projects,"I wished that you asked about the installation of Cantera using Anaconda (AC). My answer would be that I do not use AC and I do not (as yet) want to use in connection with teaching. Why?. I give the students a zip file with all the installation files (Numpy, Matplotlib etc) and include two BAT files and everybody (OK maybe 95%) is up and running in 15 minutes. AC... I dare not think ... sbe Aa (although )    d",,3/20/20 7:52,fQcDCa
fwp5vkt7mpb0dfwp5ceh6rus5ab0svce,,,,Windows 10,,,,Python,MATLAB,,,,I don’t update,,,,,,,,2.3 (released Jan. 2017),Often,2.7,Often,A version between 2015a and 2018b,,,,,,,,,,,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,Moving walls/Changing reactor volume,,,Sensitivity Analysis,,,,Premixed free flame,Burner-stabilized flame,,,,,,MATLAB interface,,Examples and tutorials,,1D solver - robustness,,TRUE,,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Website examples (https://cantera.org/examples/index.html),I use this often,I have not heard of this,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this often,North America,english,Student,,,research,,,3/20/20 11:51,fQcDCa
i4wtufaerbxfpfvi4wtuc7eat8ooftmb,,,,Windows 10,,,,Python,,,,,,,Anaconda,,,,,,2.4 (released Aug. 2018),Often,3.7,,,,,,,,,,,,,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,Moving walls/Changing reactor volume,,,Sensitivity Analysis,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,,,,,,,Reactor networks - performance,,Feature and model documentation,,Examples and tutorials,,TRUE,,I’m not aware of the Steering Committee,,,,,,"Yes, a one-time donation",Online documentation (https://cantera.org/documentation),I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this often,Asia,Chinese,Full-time/Part-time employed by a university or lab,,"Hunan University, China",Because Cantera is open-source and easy to be coupled with other algorithms written used Python,,,3/22/20 23:41,fQcDCa
k4lf5tpxqajs7tk4lf5txp3wfi7xcf6c,,,,Windows 10,"Debian or its derivatives (Ubuntu, Mint, etc.)",,,Python,MATLAB,,,,,,Anaconda,Build from source (via GitHub),"Windows binaries (.msi file), downloaded from GitHub",,,,2.4 (released Aug. 2018),Often,3.6,Sometimes,A version between 2015a and 2018b,,,,,,,,,,,,,I'm not sure,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",I modify existing Cantera reactor and/or reactor network classes to incorporate new phenomena and/or boundary conditions.,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,Valves,Pressure controllers,,Moving walls/Changing reactor volume,,Networks with multiple reactors,Sensitivity Analysis,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,Burner-stabilized flame,,Counterflow premixed flame,,,,1D solver - performance,,"New reactor or flow types (for example, transient 1-D or plug flow)",,"New thermodynamics, kinetics, or transport models",,TRUE,,"Spending project funds, 
Delegating / managing project administrative responsibilities and communication",,,Spending project funds,Delegating / managing project administrative responsibilities and communication,,"No, and I have not heard of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this often,North America,,Student,,,,,,3/23/20 8:43,fQcDCa
clzork6pffpk8m5s8clzorkp8d9y8oip,,,,Windows 10,"Debian or its derivatives (Ubuntu, Mint, etc.)",,,Python,,,,,,,Anaconda,Build from source (via GitHub),,,,,2.4 (released Aug. 2018),Often,3.8,,,,,,,,Visual StudioGnu C/C++ Compilers (gcc/g++),,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,Valves,Pressure controllers,Wall heat transfer,,,Networks with multiple reactors,Sensitivity Analysis,Solve time-dependent problems,Solve steady-state problems,,,,,,,,None of the above,"New reactor or flow types (for example, transient 1-D or plug flow)",,"New thermodynamics, kinetics, or transport models",,Examples and tutorials,,TRUE,Non-Arrhenius type kinetics,I’m not aware of the Steering Committee,,,,,,"No, but I am aware of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,I use this sometimes,I use this sometimes,I use this sometimes,I use this sometimes,I use this sometimes,Europe,German,Full-time/Part-time employed by a company,,BASF,Because I find it useful!,?,,3/23/20 17:45,fQcDCa
u6pjbh8zqmmlk6b5snfcu6pjbh8mtl7h,,,,Windows 10,,,,Python,,,,,,,Anaconda,,,,,,2.4 (released Aug. 2018),Often,3.8,,,,,,,,,,,,,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,Valves,Pressure controllers,Wall heat transfer,,,,Sensitivity Analysis,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,Burner-stabilized flame,,,,,,Feature and model documentation,,Examples and tutorials,,Python interface,,TRUE,Easy ability to call from ChemKin Pro,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I have not heard of this,I use this often,Europe,english,Student,,Trinity College Dublin,For my research,NA,,3/24/20 5:21,fQcDCa
7vfy3mp8mf5x8z7vfjjbzpnw0w82qeim,,,,Windows 10,,,,,MATLAB,,,,,,,,"Windows binaries (.msi file), downloaded from GitHub",,,,2.4 (released Aug. 2018),,,,,,,,,,,,,,,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,,,,,,Moving walls/Changing reactor volume,,,Sensitivity Analysis,,,,,,,,,,None of the above,Reactor networks - robustness,,Reactor networks - performance,,Examples and tutorials,,TRUE,Mechanism reduction,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice","I have heard of this, but I don't really use it or have only used it once or twice",I use this often,Asia,Korean,Full-time/Part-time employed by a university or lab,,,Research,None,,3/24/20 7:04,fQcDCa
10ah8mwy1bqe21ej9d10ah0eyeuu5u4l,macOS,,,,,,,Python,MATLAB,,,,,,Anaconda,,"Windows binaries (.msi file), downloaded from GitHub","macOS installer (.pkg file), downloaded from GitHub",,,2.4 (released Aug. 2018),Sometimes,3.7,Often,A version between 2015a and 2018b,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,Moving walls/Changing reactor volume,,,Sensitivity Analysis,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,Burner-stabilized flame,Counterflow diffusion flame,Counterflow premixed flame,,,,"New reactor or flow types (for example, transient 1-D or plug flow)",,"New thermodynamics, kinetics, or transport models",,Reactor networks - performance,,TRUE,Unsure at this moment,"Delegating / managing project administrative responsibilities and communication, 
Spending project funds",,,Spending project funds,Delegating / managing project administrative responsibilities and communication,,"No, but I am aware of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,I use this sometimes,I use this often,"I have heard of this, but I don't really use it or have only used it once or twice","I have heard of this, but I don't really use it or have only used it once or twice",I use this often,North America,English,Full-time/Part-time employed by a university or lab,,"University of California, Los Angeles",Teaching and Research,More detailed questions about how we might be using Cantera for educational purposes,,3/25/20 20:40,fQcDCa
lcpvzr5mtztpv44tlcpvzatb84tdjib3,,,,Windows 10,,,,Python,MATLAB,,,Fortran,,,Anaconda,,"Windows binaries (.msi file), downloaded from GitHub",,,,2.4 (released Aug. 2018),Sometimes,3.7,Sometimes,2019a or newer,,,,Sometimes,COMPASS,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)",,,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,,,,,,,,,,Solve time-dependent problems,,,,,,,,,None of the above,Fortran interface,,"New thermodynamics, kinetics, or transport models",,Reactor networks - performance,,TRUE,Compatibility with other software,Spending project funds,,,Spending project funds,,,"No, but I am aware of NumFOCUS",Search previous user group posts,I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,I use this often,I use this sometimes,I use this often,Europe,English and Chinese,Full-time/Part-time employed by a university or lab,,,For research,"Which is the highest improvement you want to make for Cantera?
The Fortran interface of Cantera via Visual Studio on Windows Systems",,3/26/20 11:12,fQcDCa
bh6zdac3ajzv2r1xbh6zd14id0g4dokz,,,,Windows 10,"Debian or its derivatives (Ubuntu, Mint, etc.)",,,Python,,,,,,,,,"Windows binaries (.msi file), downloaded from GitHub",,Ubuntu Personal Package Archive (PPA),,2.4 (released Aug. 2018),Often,3.8,,,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",I modify existing Cantera reactor and/or reactor network classes to incorporate new phenomena and/or boundary conditions.,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,Valves,,Wall heat transfer,,,Networks with multiple reactors,,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,Burner-stabilized flame,,,,,,"New thermodynamics, kinetics, or transport models",,Examples and tutorials,,Python interface,,TRUE,,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this sometimes,I use this often,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice","I have heard of this, but I don't really use it or have only used it once or twice",I use this often,North America,English,Full-time/Part-time employed by a company,,,,,,3/26/20 12:39,fQcDCa
mjrh3xj8dmjif4fs2wamd28mjrh31sar,,,,,"Debian or its derivatives (Ubuntu, Mint, etc.)",,,,,C++,,,,,,Build from source (via GitHub),,,,,Older than 2.1,,,,,,,,,,Visual StudioGnu C/C++ Compilers (gcc/g++),,,,,,,,,,,,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",Yes,,,,,,,,,,,,,,,,,,None of the above,,,,,,,,,Networks with multiple reactors,Sensitivity Analysis,Solve time-dependent problems,,,Premixed free flame,Burner-stabilized flame,Counterflow diffusion flame,,,,,Python interface,,Python interface,,Python interface,,TRUE,,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Browse the source code,I have not heard of this,I have not heard of this,I have not heard of this,I have not heard of this,I use this often,I use this sometimes,Europe,English,Full-time/Part-time employed by a university or lab,,,Free,,,3/26/20 14:03,fQcDCa
0wu6jnwmida5am40wu6gfo218o5eqp2n,,,,Windows 10,"Debian or its derivatives (Ubuntu, Mint, etc.)",,,Python,,,,,,,Anaconda,,,,,,2.4 (released Aug. 2018),Often,3.7,,,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)",,,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,Wall heat transfer,,,Networks with multiple reactors,,,Solve steady-state problems,,,,,,,,None of the above,Python interface,,"New reactor or flow types (for example, transient 1-D or plug flow)",,Reactor networks - performance,,TRUE,,I’m not aware of the Steering Committee,,,,,,"No, but I am aware of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,I use this sometimes,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice","I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,South America,Portuguese,Full-time/Part-time employed by a university or lab,,Federal University of Pampa (UNIPAMPA),Because Cantera is good for working with large chemical kinetics mechanism problems.,,,3/26/20 14:14,fQcDCa
8jp07t05m07dpm8jp0ua4ptpg6bnl1un,,,,Windows 10,,,,Python,,C++,,,,,Anaconda,,,,,,2.4 (released Aug. 2018),Often,3.6,,,Rarely,C++14,Accessibility to 1-D model to add scalar transport equations,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,Yes,,,,,,,,,,,,Redlich-Kwong,,,,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,,,Wall heat transfer,,,,Sensitivity Analysis,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,Burner-stabilized flame,Counterflow diffusion flame,Counterflow premixed flame,Surface chemistry,,,"New thermodynamics, kinetics, or transport models",,"New reactor or flow types (for example, transient 1-D or plug flow)",,1D solver - robustness,,TRUE,Using Cantera's base module with user's own equations and models.,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Search previous user group posts,I use this often,I use this sometimes,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this sometimes,Asia,Korean,Self-employed / Freelancer,,,Because it is a validated open source software.,,,3/30/20 2:07,fQcDCa
pxon7h2gp5mb7n5fw7t2m4pxon7hp1mm,,,,Windows 10,,,,Python,,,,,,,,,"Windows binaries (.msi file), downloaded from GitHub",,,,2.4 (released Aug. 2018),Often,3.7,,,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)",,,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",Yes,,liquid-water-IAPWS95,,,,,,,,,,,Pure-fluid,,,,,,,,,,,,,,,,,,None of the above,,,,,,,None of the above,"New reactor or flow types (for example, transient 1-D or plug flow)",,"New thermodynamics, kinetics, or transport models",,Examples and tutorials,,TRUE,,I’m not aware of the Steering Committee,,,,,,"No, but I am aware of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I have not heard of this,I use this sometimes,I use this sometimes,Europe,German,Full-time/Part-time employed by a company,,,I need it,,,3/30/20 7:14,fQcDCa
fp5x646mk87secgr9fp5x0fezflb7sic,,,,Windows 10,,,,Python,,,,,,,Anaconda,,,,,,2.4 (released Aug. 2018),Often,3.7,,,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sensitivity Analysis,,,,Premixed free flame,Burner-stabilized flame,,,,,,1D solver - performance,,"New thermodynamics, kinetics, or transport models",,"New reactor or flow types (for example, transient 1-D or plug flow)",,TRUE,Homogeneous liquid phase kinetics,"Modifications of the governance procedures, 
Delegating / managing project administrative responsibilities and communication",Modifications of the governance procedures,,,Delegating / managing project administrative responsibilities and communication,,"No, but I am aware of NumFOCUS",Browse the source code,I use this often,I use this often,I use this often,I use this sometimes,I use this often,I use this often,North America,English,Full-time/Part-time employed by a company,,,,,,3/30/20 8:37,fQcDCa
el0k4yemfn6ac4kiklel0k4ypykd539i,,,,,,"Red Hat or its derivatives (Fedora, CentOS, etc.)",,Python,,,,,,,Anaconda,,,,,,2.4 (released Aug. 2018),Often,3.7,,,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,,,,,,Networks with multiple reactors,,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,,Counterflow diffusion flame,Counterflow premixed flame,,,,Feature and model documentation,,"New reactor or flow types (for example, transient 1-D or plug flow)",,"New thermodynamics, kinetics, or transport models",,TRUE,Simplicity in setting up reactors networks,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,I use this sometimes,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this often,Europe,Italian,Student,,,,,,3/30/20 12:54,fQcDCa
dzp82fxi21i4q52pzz1mp55dzp82fxfq,macOS,,,,"Debian or its derivatives (Ubuntu, Mint, etc.)",,,Python,,,,,,,Anaconda,,,,,,2.4 (released Aug. 2018),Often,3.8,,,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",I modify existing Cantera reactor and/or reactor network classes to incorporate new phenomena and/or boundary conditions.,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,,,,Sensitivity Analysis,Solve time-dependent problems,Solve steady-state problems,,,Burner-stabilized flame,,,,,,"New reactor or flow types (for example, transient 1-D or plug flow)",,"New thermodynamics, kinetics, or transport models",,Examples and tutorials,,TRUE,Physical model sensitivity analysis as well as kinetic sensitivity analysis for all simulation types built in,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this sometimes,I use this sometimes,I use this sometimes,I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I have not heard of this,North America,English,Student,,Columbia University,Research,,,3/30/20 14:06,fQcDCa